wid,model,fold,train_nll,test_nll
51,Best,1,499.9963454,119.2499466
51,Best,2,460.7401929,146.348426
51,Best,3,457.9634201,113.023295
51,Best,4,481.5134764,136.9636539
51,Best,5,476.9259747,101.706964
510,Best,1,524.6816345,124.1090227
510,Best,2,532.6415467,146.549341
510,Best,3,524.3436988,134.2562927
510,Best,4,566.0130089,128.7680488
510,Best,5,551.3767398,152.5284951
512,Best,1,456.5579639,109.0049393
512,Best,2,451.1819581,98.45392057
512,Best,3,422.03619,104.9081961
512,Best,4,394.4390987,105.8337837
512,Best,5,454.0108716,104.7554423
513,Best,1,393.7969926,68.87924364
513,Best,2,426.763033,97.28327766
513,Best,3,409.3739459,115.7258182
513,Best,4,380.1134406,69.54442895
513,Best,5,322.7183139,77.48199306
52,Best,1,469.5466553,110.7079809
52,Best,2,509.1977732,126.1582072
52,Best,3,532.0572591,127.6613033
52,Best,4,521.2131007,106.3970595
52,Best,5,548.9962754,116.7878652
53,Best,1,537.9895743,137.5932893
53,Best,2,499.6985393,111.7169283
53,Best,3,491.5024777,116.8555697
53,Best,4,476.862273,116.4151646
53,Best,5,493.8821423,107.7115549
54,Best,1,505.8776735,110.2533005
54,Best,2,399.5852843,100.1451258
54,Best,3,488.1839373,122.8907161
54,Best,4,488.6284474,113.327681
54,Best,5,488.4765311,114.9561151
55,Best,1,457.8305234,117.9677924
55,Best,2,454.0400742,97.51559263
55,Best,3,441.9673845,92.36646769
55,Best,4,494.1053999,118.039975
55,Best,5,365.4282811,78.31526918
56,Best,1,439.348345,112.5518055
56,Best,2,389.1396738,76.02431666
56,Best,3,388.3066414,90.78595382
56,Best,4,396.3243622,82.75634021
56,Best,5,426.2678181,79.36935552
57,Best,1,371.9073128,92.42729344
57,Best,2,367.921793,85.02927881
57,Best,3,349.2739609,89.9171637
57,Best,4,313.0546263,68.38926844
57,Best,5,367.781736,100.6118981
58,Best,1,381.4294622,81.69703429
58,Best,2,410.3444862,101.0417795
58,Best,3,380.2849995,74.05072159
58,Best,4,427.3059859,127.2634566
58,Best,5,376.6686083,71.12227185
59,Best,1,486.473753,131.0218101
59,Best,2,493.2298493,115.7036717
59,Best,3,459.8825663,105.491369
59,Best,4,499.9075446,116.1363772
59,Best,5,424.2600254,103.1732531
61,Best,1,-17.24863464,-12.21016949
61,Best,2,60.08252935,5.596967544
61,Best,3,10.50936486,-4.114056576
61,Best,4,64.36250085,1.890656924
61,Best,5,8.49967054,-5.856554666
610,Best,1,97.43423103,23.54280411
610,Best,2,44.79428635,-2.943260016
610,Best,3,43.50080081,6.292905134
610,Best,4,78.99816697,9.569623064
610,Best,5,118.8049666,9.900731674
611,Best,1,129.3026846,21.91562756
611,Best,2,153.7314609,35.43040668
611,Best,3,110.791973,28.17982976
611,Best,4,78.63043214,11.64115978
611,Best,5,133.0081093,27.4152391
612,Best,1,53.81093207,11.13422631
612,Best,2,72.03491323,10.46065393
612,Best,3,87.57813192,10.03217874
612,Best,4,7.50828972,-4.324301276
612,Best,5,30.11829315,-6.697795946
613,Best,1,89.49984041,14.51515115
613,Best,2,27.64758025,2.715782224
613,Best,3,56.79629953,7.373388124
613,Best,4,19.54826933,-3.964090926
613,Best,5,26.07911602,-5.016018796
62,Best,1,185.0981598,26.1000019
62,Best,2,241.1485219,56.91055471
62,Best,3,163.2829029,36.23760233
62,Best,4,137.2953872,26.24309936
62,Best,5,225.6633201,42.90405354
63,Best,1,102.1060551,13.82104081
63,Best,2,121.9029334,17.82759397
63,Best,3,99.86183538,20.20561973
63,Best,4,146.8757787,21.69277983
63,Best,5,51.00146555,4.556189504
64,Best,1,159.2775487,38.52711495
64,Best,2,141.4336236,22.84980973
64,Best,3,133.3253655,17.73554932
64,Best,4,153.6137556,29.56360742
64,Best,5,174.4334329,33.74003272
65,Best,1,181.3166309,22.82996797
65,Best,2,153.7696066,22.04195232
65,Best,3,62.70238387,7.434975454
65,Best,4,174.2079901,38.30186448
65,Best,5,168.5085764,34.84468229
66,Best,1,100.6471758,16.04419391
66,Best,2,179.3718702,30.08207488
66,Best,3,83.13552261,15.53771742
66,Best,4,135.0290723,18.4119474
66,Best,5,112.310806,22.6952208
67,Best,1,90.5673603,7.926487104
67,Best,2,133.4936592,22.91730024
67,Best,3,104.0168305,22.08090548
67,Best,4,147.446041,40.49585862
67,Best,5,152.4907201,25.22067522
68,Best,1,31.06492159,-5.031792196
68,Best,2,198.4310322,40.75076251
68,Best,3,98.62247063,16.80214839
68,Best,4,83.39816815,9.366039704
68,Best,5,92.73629689,0.822867824
69,Best,1,12.24423623,-3.484819986
69,Best,2,82.0968901,10.36692907
69,Best,3,123.4138967,23.83471516
69,Best,4,93.97671499,25.53120751
69,Best,5,177.9422447,25.96734922
71,Best,1,156.9299735,32.97105817
71,Best,2,110.9741707,13.30253869
71,Best,3,114.0906008,20.00342876
71,Best,4,77.24162834,5.569702224
71,Best,5,124.9862573,14.10091635
710,Best,1,29.27585178,3.132365954
710,Best,2,73.48320447,9.888937174
710,Best,3,51.31580285,5.611427954
710,Best,4,114.8286995,22.52131655
710,Best,5,78.85235691,12.90071652
711,Best,1,63.80866446,14.42971042
711,Best,2,31.61042252,-1.155889696
711,Best,3,48.25819849,8.550586164
711,Best,4,63.23097228,5.942224234
711,Best,5,83.30758836,12.06834548
712,Best,1,67.08032719,5.152171754
712,Best,2,83.03745797,5.275381504
712,Best,3,-10.0034372,-11.17951541
712,Best,4,5.67171884,-11.18551971
712,Best,5,32.17972813,1.532437324
713,Best,1,73.17337045,8.606283054
713,Best,2,113.9672753,19.07284088
713,Best,3,117.9372649,7.663581964
713,Best,4,114.2105851,18.92924396
713,Best,5,99.16800032,15.61998753
72,Best,1,119.8521108,15.16100981
72,Best,2,66.43041384,11.54946677
72,Best,3,107.6333607,28.56188989
72,Best,4,97.05264951,19.95643515
72,Best,5,83.20385615,9.491864874
73,Best,1,64.80847796,8.644789324
73,Best,2,41.55360407,6.331930464
73,Best,3,48.72895372,-0.107821366
73,Best,4,154.9015638,25.14817976
73,Best,5,66.62329047,7.123383214
74,Best,1,58.30286413,10.13918756
74,Best,2,132.9850035,23.70703129
74,Best,3,81.21795868,13.17041849
74,Best,4,9.08136916,-4.705616416
74,Best,5,84.19169689,13.918067
75,Best,1,42.01476387,-2.884625306
75,Best,2,108.8318235,23.63404296
75,Best,3,110.1441272,20.30350449
75,Best,4,72.17913894,10.63570439
75,Best,5,109.4657494,25.68878748
76,Best,1,101.9971167,13.8898937
76,Best,2,36.73712555,-2.244877306
76,Best,3,96.51490725,21.76401112
76,Best,4,19.22696729,-2.140865076
76,Best,5,98.77696648,15.13167861
77,Best,1,83.5121663,11.40900142
77,Best,2,46.25209922,5.176226614
77,Best,3,77.57864897,9.089097654
77,Best,4,1.02958989,-11.15670459
77,Best,5,71.02045025,10.04188887
78,Best,1,86.01608523,18.15781502
78,Best,2,96.43653465,10.70971256
78,Best,3,92.18372277,5.073404394
78,Best,4,67.71791692,5.100216084
78,Best,5,-17.45366849,-12.34337697
79,Best,1,53.30351941,10.21916882
79,Best,2,70.71784712,7.478790744
79,Best,3,31.99401952,6.068214804
79,Best,4,112.519533,21.21014457
79,Best,5,45.87721491,3.121390214
81,Best,1,382.2072204,69.41354072
81,Best,2,389.8333007,86.83824664
81,Best,3,445.2471571,94.15933607
81,Best,4,440.1592713,90.52207464
81,Best,5,353.0900307,84.2995969
810,Best,1,269.4336286,64.18023982
810,Best,2,283.6027009,55.87402545
810,Best,3,267.8917053,49.50136956
810,Best,4,209.210693,36.20108076
810,Best,5,230.3632242,44.32428203
811,Best,1,277.2624589,61.01116442
811,Best,2,343.6203196,97.16674866
811,Best,3,203.2008028,33.7062662
811,Best,4,274.1690862,75.81261587
811,Best,5,252.6314364,43.97383704
812,Best,1,388.8231233,79.870153
812,Best,2,465.6559507,105.1114464
812,Best,3,368.8858769,95.18428328
812,Best,4,435.6238371,82.72463234
812,Best,5,333.8018145,68.48741117
813,Best,1,436.1179103,108.3886621
813,Best,2,439.0824289,106.1081512
813,Best,3,398.9039928,93.95519615
813,Best,4,397.3597535,92.51307026
813,Best,5,336.5314978,76.69960724
82,Best,1,446.9046632,98.08879013
82,Best,2,490.2113311,100.2560466
82,Best,3,486.9046567,104.641793
82,Best,4,499.9660531,109.7554813
82,Best,5,482.6328604,112.2485277
