wid,model,nll,β_depthlim,β_satisfice,θ_prune,β_best_next,β_prune,θ_depthlim,ε,θ_prob_better,β_depth,β_prob_best,β_prob_better,β_expand,β_best,θ_term
51,Breadth,519.6264583809271,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.07379338712958475,0.0,-9.36679200300145e-23,0.0,0.0,0.0,0.0,-35.86240430752273
510,Breadth,559.680924792589,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.299413456110268,0.0,-0.17777466817804097,0.0,0.0,0.0,0.0,-43.996562228218394
512,Breadth,504.6234507829404,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.1171633204719329,0.0,-1.369944886257736e-15,0.0,0.0,0.0,0.0,-40.66656662652412
513,Breadth,441.9925555511666,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.12489520909332513,0.0,-1.3722585590338298e-25,0.0,0.0,0.0,0.0,-5.11948446053458
52,Breadth,555.4224914941323,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.1047181460243025,0.0,-1.0136557999366309e-19,0.0,0.0,0.0,0.0,-93.71870265251094
53,Breadth,515.8298955287556,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.043344845516977086,0.0,-4.210348244385197e-15,0.0,0.0,0.0,0.0,-31.99864093592974
54,Breadth,527.6376029814844,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.061448790220450064,0.0,-4.593327781629954e-16,0.0,0.0,0.0,0.0,-43.40986428686054
55,Breadth,513.0982326892882,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.0517691260744644,0.0,-4.816272938190626e-17,0.0,0.0,0.0,0.0,-621.4727435766467
56,Breadth,454.61777828543575,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.39160869087307604,0.0,-2.909889942233733e-80,0.0,0.0,0.0,0.0,-32.623714400385296
57,Breadth,413.29815876062884,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.4591599572432084,0.0,-2.5190935264418587e-92,0.0,0.0,0.0,0.0,-34.24262147459139
58,Breadth,447.1548259815756,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.39881186118622014,0.0,-6.959067143357584e-19,0.0,0.0,0.0,0.0,-57.706137800481834
59,Breadth,515.315501608117,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.37938321194364555,0.0,0.0,0.0,0.0,0.0,0.0,-39.14893797719779
61,Breadth,48.22588702001315,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.48514272174932915,0.0,-1.8573174292668475,0.0,0.0,0.0,0.0,-88.39534129502925
610,Breadth,133.69405942291127,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.672739822968814,0.0,-149.61066660152505,0.0,0.0,0.0,0.0,-0.049639267978820595
611,Breadth,173.4675750605935,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.010000000000175629,0.0,-2.0114091921865125,0.0,0.0,0.0,0.0,-1.2103116351543268
612,Breadth,107.51716055429162,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.01000000000004547,0.0,-9.076904728752952,0.0,0.0,0.0,0.0,-0.624842833098228
613,Breadth,106.17406119237745,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.7971014492753834,0.0,-4.211310320491717,0.0,0.0,0.0,0.0,53.88336455869013
62,Breadth,236.32149338904296,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.8284082007954763,0.0,-2.0140981358691987e-287,0.0,0.0,0.0,0.0,-26.28988985214594
63,Breadth,205.99921156770242,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.9765335540404962,0.0,-6.638216544802321e-16,0.0,0.0,0.0,0.0,-8.306806252295782
64,Breadth,199.5692951008798,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.9979840759738379,0.0,-4.6742600843612146e-6,0.0,0.0,0.0,0.0,11.109739770897537
