wid,model,fold,train_nll,test_nll
51,Breadth,1,470.3806809,122.2362415
51,Breadth,2,461.69208,99.45229317
51,Breadth,3,491.2154714,125.9397232
51,Breadth,4,485.8559279,122.9612646
51,Breadth,5,481.5410511,122.6832171
510,Breadth,1,497.2421484,121.969572
510,Breadth,2,523.7258732,142.1931137
510,Breadth,3,529.0043011,129.7880295
510,Breadth,4,504.1262999,128.1291052
510,Breadth,5,541.2248477,128.7866695
512,Breadth,1,461.8116733,112.0330499
512,Breadth,2,403.6574277,98.04871154
512,Breadth,3,473.0995704,104.6568735
512,Breadth,4,423.0642046,100.7520435
512,Breadth,5,464.8905082,120.2635373
513,Breadth,1,435.1047142,99.74515446
513,Breadth,2,385.9482031,97.27022149
513,Breadth,3,389.6313898,100.5095853
513,Breadth,4,486.2754492,125.9988347
513,Breadth,5,410.4277253,88.7746982
52,Breadth,1,522.7501524,139.2380589
52,Breadth,2,511.6833196,133.9912055
52,Breadth,3,543.726019,120.9608598
52,Breadth,4,513.0421532,139.709902
52,Breadth,5,506.7597373,119.0112182
53,Breadth,1,493.1183453,110.2732243
53,Breadth,2,503.4007489,119.9113392
53,Breadth,3,456.4187751,125.0578147
53,Breadth,4,510.0244497,111.7127592
53,Breadth,5,476.3336436,117.4434493
54,Breadth,1,468.0140022,140.0908971
54,Breadth,2,516.2523169,135.6962822
54,Breadth,3,475.1185169,106.4053053
54,Breadth,4,476.2859628,107.8943496
54,Breadth,5,478.1473126,125.6473664
55,Breadth,1,487.054191,142.0031769
55,Breadth,2,476.4031592,118.0448086
55,Breadth,3,482.915997,121.797965
55,Breadth,4,490.7363588,130.189276
55,Breadth,5,483.4031031,134.4717279
56,Breadth,1,402.121615,100.2609118
56,Breadth,2,428.5429237,96.89524142
56,Breadth,3,408.5212052,90.8764451
56,Breadth,4,453.5666031,137.6397119
56,Breadth,5,438.1510311,103.8016426
57,Breadth,1,317.4787934,86.61996059
57,Breadth,2,386.4932737,93.20052416
57,Breadth,3,382.3518335,88.66227934
57,Breadth,4,396.5253146,89.82824749
57,Breadth,5,410.6239495,92.31987146
58,Breadth,1,403.8521747,111.2765264
58,Breadth,2,412.5195311,89.21580029
58,Breadth,3,438.8964568,104.6149129
58,Breadth,4,405.1488755,93.9334873
58,Breadth,5,419.4893121,100.8097762
59,Breadth,1,485.0551809,134.7083765
59,Breadth,2,485.0842505,129.2289693
59,Breadth,3,485.0811612,129.4977283
59,Breadth,4,494.8756042,120.053801
59,Breadth,5,435.6104526,96.42588129
61,Breadth,1,17.23873029,2.4184845
61,Breadth,2,53.66175278,13.95222838
61,Breadth,3,24.49189885,8.06181029
61,Breadth,4,31.71830838,6.97466205
61,Breadth,5,37.00582726,8.4214121
610,Breadth,1,143.4638168,33.86230639
610,Breadth,2,139.2450485,30.69513422
610,Breadth,3,123.9512762,38.19499083
610,Breadth,4,147.5688584,31.53569394
610,Breadth,5,135.6798467,25.35814929
611,Breadth,1,121.844032,27.74319207
611,Breadth,2,107.6333788,23.60046137
