wid,model,nll,β_depthlim,β_satisfice,θ_prune,β_best_next,β_prune,θ_depthlim,ε,θ_prob_better,β_depth,β_prob_best,β_prob_better,β_expand,β_best,θ_term
51,Depth,458.6835294777822,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.07636093028548638,0.0,3.4212845851141993,0.0,0.0,0.0,0.0,-105.37396830193227
510,Depth,559.7579814402511,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.29932035727691453,0.0,9.663960342243671e-200,0.0,0.0,0.0,0.0,-32.92178214558119
512,Depth,405.6173471941195,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.1212005309307976,0.0,4.447849828341843,0.0,0.0,0.0,0.0,-47.20010630568505
513,Depth,372.0794947346239,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.10105606209409183,0.0,4.202364996645752,0.0,0.0,0.0,0.0,-4.375856126446455
52,Depth,533.8437417496938,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.10588668283514642,0.0,2.2076278208455204,0.0,0.0,0.0,0.0,-55.84138858927149
53,Depth,460.7859228547539,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.04433040474609592,0.0,3.620009020277999,0.0,0.0,0.0,0.0,-58.563651546962106
54,Depth,483.8076270359476,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.06219008030802715,0.0,3.21451921346616,0.0,0.0,0.0,0.0,-90.7439483061366
55,Depth,460.66789743940313,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.05210915664296956,0.0,3.4095731883180145,0.0,0.0,0.0,0.0,-52.84459202461413
56,Depth,453.8605797849047,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.3943893502672768,0.0,0.8317216725704822,0.0,0.0,0.0,0.0,-34.086509678536316
57,Depth,412.75075650637206,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.4626721211358195,0.0,0.9063560429054878,0.0,0.0,0.0,0.0,-62.264149693472085
