wid,model,fold,train_nll,test_nll
51,Depth,1,459.5190221,124.8179266
51,Depth,2,420.6499383,121.3698733
51,Depth,3,443.306641,110.2680707
51,Depth,4,410.4343906,100.6558559
51,Depth,5,414.3272408,116.1988073
510,Depth,1,489.1378624,115.0825319
510,Depth,2,506.9127349,131.7526742
510,Depth,3,524.7922776,121.3385249
510,Depth,4,465.9126281,116.312993
510,Depth,5,512.1522691,122.4391118
512,Depth,1,356.0238287,87.39699083
512,Depth,2,377.5599448,90.31153215
512,Depth,3,382.7307832,103.2397178
512,Depth,4,347.5603418,106.5304981
512,Depth,5,344.7545068,89.96834833
513,Depth,1,332.7800632,80.96803048
513,Depth,2,329.4853803,77.107432
513,Depth,3,323.3065795,69.0909822
513,Depth,4,339.1246972,82.77579973
513,Depth,5,339.7295963,105.5842996
52,Depth,1,481.9880693,118.0551192
52,Depth,2,474.4043677,105.0522065
52,Depth,3,478.306791,121.6232518
52,Depth,4,496.0546045,119.1951861
52,Depth,5,473.7981417,96.44717431
53,Depth,1,411.9391447,114.5201069
53,Depth,2,427.173981,132.4357697
53,Depth,3,460.7847614,132.2244381
53,Depth,4,439.6000883,124.348353
53,Depth,5,416.2225191,99.07813446
54,Depth,1,426.3728025,107.0424868
54,Depth,2,434.353486,118.3107152
54,Depth,3,473.8354701,116.0537344
54,Depth,4,449.5479345,124.568315
54,Depth,5,429.6059899,111.0842708
55,Depth,1,410.7661164,116.2238989
55,Depth,2,436.9874277,109.6300751
55,Depth,3,459.0734247,116.9054971
55,Depth,4,450.9236699,112.4436007
55,Depth,5,433.1851631,90.62969954
56,Depth,1,418.7388636,100.9425799
56,Depth,2,393.3553039,97.97579366
56,Depth,3,366.9136393,79.38477186
56,Depth,4,436.408564,109.3375483
56,Depth,5,402.4945794,116.5492756
57,Depth,1,389.2679223,93.25589949
57,Depth,2,355.328,95.04199822
57,Depth,3,323.4164145,85.8266556
57,Depth,4,391.8180852,91.9308688
57,Depth,5,357.0040231,89.45276598
58,Depth,1,405.2437729,102.8157021
58,Depth,2,421.2430758,116.1241865
58,Depth,3,410.1940684,89.99628318
58,Depth,4,420.9974059,110.7644763
58,Depth,5,408.2027779,109.9672979
59,Depth,1,484.5770165,113.3081317
59,Depth,2,442.9284893,105.0794255
59,Depth,3,476.5547702,115.7689437
59,Depth,4,491.3878568,109.1889464
59,Depth,5,482.9817197,118.8967103
61,Depth,1,72.76170342,20.34492811
61,Depth,2,33.2994711,7.98507325
61,Depth,3,53.39486443,13.71451158
61,Depth,4,44.64175971,9.26320163
61,Depth,5,31.99068414,3.39820988
610,Depth,1,70.38888683,14.4172144
610,Depth,2,76.4603386,14.66927719
610,Depth,3,101.4744044,28.7848648
610,Depth,4,66.9309869,12.8899563
610,Depth,5,116.5781757,25.66128338
611,Depth,1,142.2647254,26.94627222
611,Depth,2,158.2323702,40.40953647
611,Depth,3,133.7071805,37.83328559
611,Depth,4,113.1262615,35.06101017
611,Depth,5,158.3773216,38.32670509
612,Depth,1,114.271612,26.9062288
612,Depth,2,114.5776572,34.54328183
612,Depth,3,80.57118241,16.55613524
612,Depth,4,90.38317797,26.33472995
612,Depth,5,128.0813157,25.01097299
613,Depth,1,135.4420857,36.56837169
613,Depth,2,52.095231,15.7727322
613,Depth,3,97.30038985,28.16069315
613,Depth,4,127.6606542,23.88234857
613,Depth,5,70.09398341,17.20646361
62,Depth,1,176.1522687,38.10609263
62,Depth,2,122.7716569,30.85335766
62,Depth,3,116.5970611,26.32227293
62,Depth,4,117.6204088,26.38123024
62,Depth,5,127.5763055,26.25566815
63,Depth,1,136.4678682,39.80999115
63,Depth,2,184.7442985,40.49054311
63,Depth,3,111.2264933,27.79550279
63,Depth,4,134.554173,23.14610696
63,Depth,5,125.789032,36.93133669
64,Depth,1,118.0105565,30.72554635
64,Depth,2,137.1102108,36.07979221
64,Depth,3,153.9797501,36.16747884
64,Depth,4,151.0048845,45.41317554
64,Depth,5,113.828684,27.68938449
65,Depth,1,137.5124248,29.53887998
65,Depth,2,105.6402101,26.25718088
65,Depth,3,134.6077614,25.29071578
65,Depth,4,135.1460207,26.99470593
65,Depth,5,141.6593662,33.73129686
66,Depth,1,146.4974072,34.83138317
66,Depth,2,165.3107198,44.16071203
66,Depth,3,163.3622493,35.61495977
66,Depth,4,172.6800107,53.48956583
66,Depth,5,171.563736,50.24534072
67,Depth,1,113.8707592,36.43252124
