wid,model,fold,train_nll,test_nll
51,OptimalPlus,1,417.954451,97.77110506
51,OptimalPlus,2,433.2252058,113.8577872
51,OptimalPlus,3,439.7152822,99.20932175
51,OptimalPlus,4,477.8661159,138.7869033
51,OptimalPlus,5,407.4917703,110.4658302
510,OptimalPlus,1,429.7439744,115.5796309
510,OptimalPlus,2,508.3879977,126.1786479
510,OptimalPlus,3,519.1662255,138.7958992
510,OptimalPlus,4,496.5972055,121.2539513
510,OptimalPlus,5,493.8173068,131.7932094
512,OptimalPlus,1,381.0379741,95.30688661
512,OptimalPlus,2,440.4727034,102.4804226
512,OptimalPlus,3,373.0897573,81.26946278
512,OptimalPlus,4,420.5230597,116.0571276
512,OptimalPlus,5,438.9049353,93.91796772
513,OptimalPlus,1,343.6977565,88.65119351
513,OptimalPlus,2,334.7322894,83.92807328
513,OptimalPlus,3,414.0772414,96.28728361
513,OptimalPlus,4,301.9003868,73.61249363
513,OptimalPlus,5,367.8305411,96.04297012
52,OptimalPlus,1,570.8971146,143.4822192
52,OptimalPlus,2,451.0452216,112.4967377
52,OptimalPlus,3,429.6945542,91.17214317
52,OptimalPlus,4,427.9574618,109.1596475
52,OptimalPlus,5,477.6774388,127.9262045
53,OptimalPlus,1,497.2075344,135.0420399
53,OptimalPlus,2,455.2234315,103.7280764
53,OptimalPlus,3,473.9673417,98.18812273
53,OptimalPlus,4,425.5887786,102.7187922
53,OptimalPlus,5,412.8308545,101.7395761
54,OptimalPlus,1,448.3312488,112.6565189
54,OptimalPlus,2,427.8364421,106.8440987
54,OptimalPlus,3,467.2429362,122.062829
54,OptimalPlus,4,324.8962515,79.36229124
54,OptimalPlus,5,463.1380263,103.3324287
55,OptimalPlus,1,426.1605546,94.05694262
55,OptimalPlus,2,427.6718928,106.301395
55,OptimalPlus,3,485.5722394,124.458451
55,OptimalPlus,4,420.8599887,99.65789905
55,OptimalPlus,5,467.801383,112.7724863
56,OptimalPlus,1,343.1398176,89.05631589
56,OptimalPlus,2,286.0966497,51.64520089
56,OptimalPlus,3,358.7120402,77.13335621
56,OptimalPlus,4,428.2081143,96.19514809
56,OptimalPlus,5,341.6089168,71.74371985
57,OptimalPlus,1,285.9181593,70.76351125
57,OptimalPlus,2,279.4652142,61.17295121
57,OptimalPlus,3,275.1336445,71.2020556
57,OptimalPlus,4,359.284592,97.67777842
57,OptimalPlus,5,269.0103997,58.09183682
58,OptimalPlus,1,366.8941294,94.97742254
58,OptimalPlus,2,384.9263702,103.6268935
58,OptimalPlus,3,379.4186014,80.67571349
58,OptimalPlus,4,284.6339826,73.53733317
58,OptimalPlus,5,374.3988783,83.56410266
59,OptimalPlus,1,445.9747373,129.9584031
59,OptimalPlus,2,378.1015402,91.05376724
59,OptimalPlus,3,406.3704098,73.56717537
59,OptimalPlus,4,411.8211815,91.4621881
59,OptimalPlus,5,506.3062929,107.2406757
61,OptimalPlus,1,3.56963804,6.156768278
61,OptimalPlus,2,-27.96171056,-9.607523742
61,OptimalPlus,3,12.19214852,-0.565909522
61,OptimalPlus,4,41.84581104,9.656113168
61,OptimalPlus,5,-6.16276283,-2.189688732
610,OptimalPlus,1,47.13029316,6.719874458
610,OptimalPlus,2,-30.50990243,-10.84956357
610,OptimalPlus,3,2.71295297,-5.754481192
610,OptimalPlus,4,7.65223421,-1.407947902
610,OptimalPlus,5,13.13752981,2.316302328
611,OptimalPlus,1,95.59565576,26.64601242
611,OptimalPlus,2,87.73923992,14.68995047
611,OptimalPlus,3,112.0704087,17.95026057
611,OptimalPlus,4,33.37290552,3.350634928
611,OptimalPlus,5,140.3530929,31.97629681
612,OptimalPlus,1,31.12852989,1.324362848
612,OptimalPlus,2,95.99284129,29.21828163
612,OptimalPlus,3,36.03947667,1.279021938
612,OptimalPlus,4,18.31177998,-0.655503842
612,OptimalPlus,5,16.32357725,7.683975058
613,OptimalPlus,1,14.62792189,-4.769078502
613,OptimalPlus,2,-27.08724464,-10.47690191
613,OptimalPlus,3,71.19965512,12.83424004
613,OptimalPlus,4,43.00973522,6.550868958
613,OptimalPlus,5,40.32959223,9.354775508
62,OptimalPlus,1,102.3135504,18.27963448
62,OptimalPlus,2,95.11486438,34.5509133
62,OptimalPlus,3,97.01947499,28.54247179
62,OptimalPlus,4,170.2505055,47.33733667
62,OptimalPlus,5,69.00950211,18.40375444
63,OptimalPlus,1,75.90232457,11.59378176
63,OptimalPlus,2,125.7158758,31.06821512
63,OptimalPlus,3,141.063475,28.85289001
63,OptimalPlus,4,80.81431947,24.58858687
63,OptimalPlus,5,101.6450072,12.24072655
64,OptimalPlus,1,67.92884563,22.20030522
64,OptimalPlus,2,22.46895283,0.192496908
64,OptimalPlus,3,123.1136805,27.32611534
64,OptimalPlus,4,3.57183252,-3.417127572
64,OptimalPlus,5,129.6153466,31.32743009
65,OptimalPlus,1,137.070898,26.97967604
65,OptimalPlus,2,60.86901766,13.08296177
65,OptimalPlus,3,115.8597467,19.17984262
65,OptimalPlus,4,57.90390702,3.100615918
65,OptimalPlus,5,120.2988219,12.4011661
66,OptimalPlus,1,98.5947353,20.3841269
66,OptimalPlus,2,115.965918,30.2387156
66,OptimalPlus,3,150.920374,36.93797493
